size,path,id,color,name,entityID,order,s_height,height,guid,ground_lev,rise_by,level,coordinates
1000,city/house/house.28,house.28,"rgb(255, 183, 0)",A区3栋,39d58b63-c13c-4849-b43b-3d6266e6bd21,1.0,0.0,95.0,36e84a73-e301-4f7a-a1fb-0c3787d39b2a,Raise or lower,95.0,0.0,"[[[119.97334494322835, 30.522437614494375], [119.97336880407094, 30.522689809916], [119.97401354987069, 30.5226443926844], [119.97399389292822, 30.52239773013526], [119.97334494322835, 30.522437614494375]]]"
1000,city/house/house.29,house.29,"rgb(255, 183, 0)",A区24栋,3b362109-d1c5-4445-b1c0-da537772d1e3,1.0,0.0,18.0,fe0d37fc-2b5e-4428-ab89-5845b7d09795,Raise or lower,18.0,0.0,"[[[119.97545189427386, 30.52116230107921], [119.97540205948691, 30.521434836105506], [119.97562144384196, 30.521466251323115], [119.9756730274859, 30.521192878595137], [119.97545189427386, 30.52116230107921]]]"
1000,city/house/house.30,house.30,"rgb(189, 186, 0)",,41e23f22-536a-4ffb-8975-9c9ba93d7d1d,1.0,0.0,6.0,e69f9188-ce9a-446d-b0e8-90d1f3f9a9bd,Raise or lower,6.0,0.0,"[[[119.97466807718182, 30.521212766318463], [119.97458674277466, 30.52121473262503], [119.97458684566733, 30.521245316582714], [119.97466881914082, 30.521243338740092], [119.97466807718182, 30.521212766318463]]]"
1000,city/house/house.31,house.31,"rgb(189, 186, 0)",,44309fc2-dfdf-4e59-b3fa-45ad9b8de6e2,1.0,0.0,4.0,ad5f65e8-2258-4da5-90bb-568fe94ac051,Raise or lower,4.0,0.0,"[[[119.97366970038837, 30.520782429089717], [119.97366869456863, 30.520728491820805], [119.97363625905719, 30.52072859354808], [119.97363740459802, 30.520783220513213], [119.97366970038837, 30.520782429089717]]]"
1000,city/house/house.32,house.32,"rgb(255, 183, 0)",A区8栋,46a06e37-225f-4d0e-a4c6-207d86050996,1.0,0.0,20.0,f6dfe674-a8c4-4520-ba00-9749af0b22db,Raise or lower,20.0,0.0,"[[[119.97463668348189, 30.522880990884342], [119.97435714279607, 30.52285390130023], [119.9743309241732, 30.523066877144924], [119.97461033909387, 30.52309415438004], [119.97463668348189, 30.522880990884342]]]"
1000,city/house/house.33,house.33,"rgb(255, 183, 0)",A区1栋,4b97236b-2d6a-40ee-a127-144eec5e477e,1.0,0.0,27.0,0002519e-efa2-47ec-99de-05246ce9e634,Raise or lower,27.0,0.0,"[[[119.97483852883387, 30.523752242664425], [119.97487196693538, 30.52349665542851], [119.9743721648782, 30.52345368479449], [119.97433788326303, 30.5237037076932], [119.97483852883387, 30.523752242664425]]]"
1000,city/house/house.34,house.34,"rgb(255, 183, 0)",A区25栋,4c57835b-1870-42c9-ae23-44c840209b88,1.0,0.0,57.0,9fedbf96-27ef-49b4-aa7f-9327d69ae83c,Raise or lower,57.0,0.0,"[[[119.97562412469213, 30.522322878556896], [119.9759624878249, 30.522370583566563], [119.97601466124951, 30.52208648484615], [119.97567738247155, 30.52204025541998], [119.97562412469213, 30.522322878556896]]]"
1000,city/house/house.35,house.35,"rgb(189, 186, 0)",,5616ac94-df5e-43e0-8424-37cbe671fbc1,1.0,0.0,8.0,633a4e25-59c6-4c9f-b092-4555d629234b,Raise or lower,8.0,0.0,"[[[119.97361221041945, 30.520481565526698], [119.97326574958723, 30.520463856943714], [119.97326126207314, 30.520532247850756], [119.97360748215088, 30.52054996720767], [119.97361221041945, 30.520481565526698]]]"
1000,city/house/house.36,house.36,"rgb(189, 186, 0)",,58d60f90-c37d-40c2-92d4-6ab35898811f,1.0,0.0,6.0,9153f2d5-9fc1-47f5-a0a6-c384b2881404,Raise or lower,6.0,0.0,"[[[119.97334811538872, 30.520245543399223], [119.9733345604091, 30.52012902682727], [119.97298779121864, 30.52015749424799], [119.9730005516768, 30.520274123308017], [119.97334811538872, 30.520245543399223]]]"
1000,city/house/house.37,house.37,"rgb(189, 186, 0)",,59726862-63d8-4b79-ab50-ae7cb93b03a0,1.0,0.0,4.0,38bc9808-6799-460b-b52d-a60e4e32efcd,Raise or lower,4.0,0.0,"[[[119.97412549517549, 30.52057516355614], [119.97412205286497, 30.52052036038324], [119.97409107061827, 30.52052193830181], [119.97409449503753, 30.520576730603178], [119.97412549517549, 30.52057516355614]]]"
1000,city/house/house.38,house.38,"rgb(189, 186, 0)",,5b2a4e7b-6ec6-40e4-94b4-54ff0eabecb1,1.0,0.0,8.0,2a6c81d5-3ba9-40d7-8bea-b0825a087c8c,Raise or lower,8.0,0.0,"[[[119.97512350304928, 30.520914067345178], [119.97489652838091, 30.52088323509663], [119.97488452708023, 30.52095031310005], [119.97511085667392, 30.520980959882973], [119.97512350304928, 30.520914067345178]]]"
1000,city/house/house.39,house.39,"rgb(255, 183, 0)",A区2栋,5b957d8d-14d2-4f5b-895e-798697e34804,1.0,0.0,18.0,c72fefa5-482b-48bd-920a-88a56d9304be,Raise or lower,18.0,0.0,"[[[119.97520290176959, 30.523729704630576], [119.97525193395842, 30.523461512684907], [119.9750402412975, 30.52343368814226], [119.97499095124337, 30.52370216332846], [119.97520290176959, 30.523729704630576]]]"
1000,city/house/house.40,house.40,"rgb(255, 183, 0)",A区6栋,5fcb3716-5c79-49d9-bc34-34cbed82529c,1.0,0.0,19.0,18e6d91a-9b16-4427-a37c-6f231ef6a336,Raise or lower,19.0,0.0,"[[[119.97421248895164, 30.52275852719269], [119.97399714235812, 30.522758007592405], [119.97399506191844, 30.523031407826725], [119.9742125533289, 30.523030401162714], [119.97421248895164, 30.52275852719269]]]"
1000,city/house/house.41,house.41,"rgb(189, 186, 0)",,613d5e94-71a0-49c1-90ef-35dd5eb7c549,1.0,0.0,4.0,658edd24-94ad-468c-997e-82c36bd7ba19,Raise or lower,4.0,0.0,"[[[119.9737197896265, 30.52072650296941], [119.9737217135191, 30.520781203916837], [119.97375398862904, 30.520780285920335], [119.9737519938574, 30.520725897152985], [119.9737197896265, 30.52072650296941]]]"
