"~id","~start_node_id","~end_node_id","~relationship_type"
"496","4030","6616","exist_in"
"497","4121","6616","exist_in"
"498","4356","6616","exist_in"
"499","4357","6616","exist_in"
"500","4189","6616","exist_in"
"501","4358","6616","exist_in"
"502","4359","6616","exist_in"
"503","4153","6617","exist_in"
"504","4163","6617","exist_in"
"505","4360","6617","exist_in"
"506","4019","6620","exist_in"
"507","4068","6621","exist_in"
"508","4361","6621","exist_in"
"509","4362","6622","exist_in"
"510","4363","6622","exist_in"
"511","4364","6622","exist_in"
"512","4365","6622","exist_in"
"513","4011","6622","exist_in"
"514","4114","6622","exist_in"
"515","4366","6622","exist_in"
"516","4367","6622","exist_in"
"517","4368","6623","exist_in"
"518","4369","6623","exist_in"
"519","4370","6625","exist_in"
"520","4039","6626","exist_in"
"521","4321","6626","exist_in"
"522","4371","6626","exist_in"
"523","4372","6627","exist_in"
"524","4043","6627","exist_in"
"525","4373","6629","exist_in"
"526","4190","6631","exist_in"
"527","4068","6631","exist_in"
"528","4191","6631","exist_in"
"529","4153","6632","exist_in"
"530","4374","6632","exist_in"
"531","4375","6632","exist_in"
"532","4376","6632","exist_in"
"533","4377","6632","exist_in"
"534","4378","6632","exist_in"
"535","4379","6632","exist_in"
"536","4380","6632","exist_in"
"537","4376","6633","exist_in"
"538","4381","6634","exist_in"
"539","4382","6635","exist_in"
"540","4383","6635","exist_in"
"541","4384","6635","exist_in"
"542","4251","6635","exist_in"
"543","4385","6635","exist_in"
"544","4386","6635","exist_in"
"545","4387","6637","exist_in"
"546","4388","6637","exist_in"
"547","4389","6637","exist_in"
"548","4020","6638","exist_in"
"549","4038","6638","exist_in"
"550","4068","6638","exist_in"
"551","4043","6638","exist_in"
"552","4121","6639","exist_in"
"553","4390","6639","exist_in"
"554","4122","6639","exist_in"
"555","4391","6639","exist_in"
"556","4190","6640","exist_in"
"557","4068","6640","exist_in"
"558","4392","6640","exist_in"
"559","4393","6640","exist_in"
"560","4394","6640","exist_in"
"561","4191","6640","exist_in"
"562","4395","6640","exist_in"
"563","4396","6640","exist_in"
"564","4397","6641","exist_in"
"565","4398","6641","exist_in"
"566","4068","6642","exist_in"
"567","4331","6643","exist_in"
"568","4399","6644","exist_in"
"569","4400","6644","exist_in"
"570","4401","6645","exist_in"
"571","4402","6645","exist_in"
"572","4403","6645","exist_in"
"573","4404","6645","exist_in"
"574","4161","6646","exist_in"
"575","4405","6646","exist_in"
"576","4068","6646","exist_in"
"577","4051","6646","exist_in"
"578","4019","6646","exist_in"
"579","4055","6646","exist_in"
"580","4056","6646","exist_in"
"581","4022","6646","exist_in"
"582","4406","6646","exist_in"
"583","4407","6646","exist_in"
"584","4020","6647","exist_in"
"585","4068","6647","exist_in"
"586","4408","6648","exist_in"
