size,path,id,color,name,coordinates,description,type,nodeVisibility
5000,LOC.30/FAC,LOC.30.FAC,#f0a73a,landslide.LOC.30.FAC,"['-84.0926', '10.0159']",,FAC,FALSE
5000,LOC.30/DATA,LOC.30.DATA,#8579ec,landslide.LOC.30.DATA,"['-84.0926', '10.0159']",,DATA,FALSE
10000,LOC.31,LOC.31,#2579e8,landslide.LOC.31,"['106.7290', '32.9829']",Alamout basin,LOC,FALSE
5000,LOC.31/MED,LOC.31.MED,#27cf7e,landslide.LOC.31.MED,"['106.7290', '32.9829']",,MED,FALSE
5000,LOC.31/FAC,LOC.31.FAC,#f0a73a,landslide.LOC.31.FAC,"['106.7290', '32.9829']",,FAC,FALSE
5000,LOC.31/DATA,LOC.31.DATA,#8579ec,landslide.LOC.31.DATA,"['106.7290', '32.9829']",,DATA,FALSE
10000,LOC.32,LOC.32,#2579e8,landslide.LOC.32,"['50.2201', '36.5486']",Alamut watershed,LOC,FALSE
5000,LOC.32/MED,LOC.32.MED,#27cf7e,landslide.LOC.32.MED,"['50.2201', '36.5486']",,MED,FALSE
5000,LOC.32/FAC,LOC.32.FAC,#f0a73a,landslide.LOC.32.FAC,"['50.2201', '36.5486']",,FAC,FALSE
5000,LOC.32/DATA,LOC.32.DATA,#8579ec,landslide.LOC.32.DATA,"['50.2201', '36.5486']",,DATA,FALSE
10000,LOC.33,LOC.33,#2579e8,landslide.LOC.33,"['51.4667', '35.9931']",Alborz Mountain Belt,LOC,FALSE
5000,LOC.33/MED,LOC.33.MED,#27cf7e,landslide.LOC.33.MED,"['51.4667', '35.9931']",,MED,FALSE
5000,LOC.33/FAC,LOC.33.FAC,#f0a73a,landslide.LOC.33.FAC,"['51.4667', '35.9931']",,FAC,FALSE
5000,LOC.33/DATA,LOC.33.DATA,#8579ec,landslide.LOC.33.DATA,"['51.4667', '35.9931']",,DATA,FALSE
10000,LOC.34,LOC.34,#2579e8,landslide.LOC.34,"['-0.6171', '38.6910']",Alcoy,LOC,FALSE
5000,LOC.34/MED,LOC.34.MED,#27cf7e,landslide.LOC.34.MED,"['-0.6171', '38.6910']",,MED,FALSE
5000,LOC.34/FAC,LOC.34.FAC,#f0a73a,landslide.LOC.34.FAC,"['-0.6171', '38.6910']",,FAC,FALSE
5000,LOC.34/DATA,LOC.34.DATA,#8579ec,landslide.LOC.34.DATA,"['-0.6171', '38.6910']",,DATA,FALSE
10000,LOC.35,LOC.35,#2579e8,landslide.LOC.35,"['2.6329', '28.0339']",Algeria,LOC,FALSE
5000,LOC.35/MED,LOC.35.MED,#27cf7e,landslide.LOC.35.MED,"['2.6329', '28.0339']",,MED,FALSE
5000,LOC.35/FAC,LOC.35.FAC,#f0a73a,landslide.LOC.35.FAC,"['2.6329', '28.0339']",,FAC,FALSE
5000,LOC.35/DATA,LOC.35.DATA,#8579ec,landslide.LOC.35.DATA,"['2.6329', '28.0339']",,DATA,FALSE
10000,LOC.36,LOC.36,#2579e8,landslide.LOC.36,"['3.0588', '36.7372']",Algiers,LOC,FALSE
5000,LOC.36/MED,LOC.36.MED,#27cf7e,landslide.LOC.36.MED,"['3.0588', '36.7372']",,MED,FALSE
5000,LOC.36/FAC,LOC.36.FAC,#f0a73a,landslide.LOC.36.FAC,"['3.0588', '36.7372']",,FAC,FALSE
5000,LOC.36/DATA,LOC.36.DATA,#8579ec,landslide.LOC.36.DATA,"['3.0588', '36.7372']",,DATA,FALSE
10000,LOC.37,LOC.37,#2579e8,landslide.LOC.37,"['3.2935', '36.8402']",Algiers Sahel,LOC,FALSE
5000,LOC.37/MED,LOC.37.MED,#27cf7e,landslide.LOC.37.MED,"['3.2935', '36.8402']",,MED,FALSE
5000,LOC.37/FAC,LOC.37.FAC,#f0a73a,landslide.LOC.37.FAC,"['3.2935', '36.8402']",,FAC,FALSE
5000,LOC.37/DATA,LOC.37.DATA,#8579ec,landslide.LOC.37.DATA,"['3.2935', '36.8402']",,DATA,FALSE
10000,LOC.38,LOC.38,#2579e8,landslide.LOC.38,"['-0.4907', '38.3452']",Alicante,LOC,FALSE
5000,LOC.38/MED,LOC.38.MED,#27cf7e,landslide.LOC.38.MED,"['-0.4907', '38.3452']",,MED,FALSE
5000,LOC.38/FAC,LOC.38.FAC,#f0a73a,landslide.LOC.38.FAC,"['-0.4907', '38.3452']",,FAC,FALSE
5000,LOC.38/DATA,LOC.38.DATA,#8579ec,landslide.LOC.38.DATA,"['-0.4907', '38.3452']",,DATA,FALSE
10000,LOC.39,LOC.39,#2579e8,landslide.LOC.39,"['120.7184', '23.5116']",Alishan D098 sub-basin,LOC,FALSE
5000,LOC.39/MED,LOC.39.MED,#27cf7e,landslide.LOC.39.MED,"['120.7184', '23.5116']",,MED,FALSE
